date,subject,text
17 oktober 2024,Post,txt/0a178131-9bbf-4848-b528-25341b33c6cc.pdf.txt
16 april 2024,Vragenuur,txt/0a389791-784b-4688-8694-4b0027a7cec7.pdf.txt
21 mei 2024,Vragenuur,txt/0a9f7faa-4b9c-4c23-a078-0e28e9afaa04.pdf.txt
8 februari 2024,Begroting Justitie en Veiligheid 2024,txt/26cb6cf6-75e8-40b5-918a-00c6482819c8.pdf.txt
8 februari 2024,Staat van de Volkshuisvesting,txt/40993d1c-f887-482d-89f7-33e41f6f7ed9.pdf.txt
17 oktober 2024,"Begroting Landbouw, Visserij, Voedselzekerheid en Natuur 2025",txt/965cac71-9582-4659-8a69-207b27bacad7.pdf.txt
1 februari 2024,"Begroting Landbouw, Natuur en Voedselkwaliteit 2024",txt/ed7ffb05-ec88-44ef-a7a0-92caf70df476.pdf.txt
