full_name,last_name,party,function,role,cabinet,start_date,end_date
Gerard Veldkamp,Veldkamp,KVP,Minister,Sociale Zaken en Volksgezondheid,De Quay,17 juli 1961,23 juli 1963
Frans Gijzels,Gijzels,KVP,Staatssecretaris,Economische Zaken,De Quay,14 september 1961,23 juli 1963
Harry Janssen,Janssen,KVP,Staatssecretaris,"Onderwijs, Kunsten en Wetenschappen",De Quay,4 juni 1962,23 juli 1963
Koos Andriessen,Andriessen,CHU,Minister,Economische Zaken,Marijnen,24 juli 1963,13 april 1965
Barend Biesheuvel,Biesheuvel,ARP,Minister,Viceminister-president,Marijnen,24 juli 1963,13 april 1965
Barend Biesheuvel,Biesheuvel,ARP,Minister,Landbouw en Visserij,Marijnen,24 juli 1963,13 april 1965
Barend Biesheuvel,Biesheuvel,ARP,Minister,de West,Marijnen,24 juli 1963,13 april 1965
Pieter Bogaers,Bogaers,KVP,Minister,Volkshuisvesting en Bouwnijverheid,Marijnen,24 juli 1963,13 april 1965
Theo Bot,Bot,KVP,Minister,"Onderwijs, Kunsten en Wetenschappen",Marijnen,24 juli 1963,13 april 1965
Joseph Luns,Luns,KVP,Minister,Buitenlandse Zaken,Marijnen,24 juli 1963,13 april 1965
Victor Marijnen,Marijnen,KVP,Minister,Minister-president,Marijnen,24 juli 1963,13 april 1965
Victor Marijnen,Marijnen,KVP,Minister,Algemene Zaken,Marijnen,24 juli 1963,13 april 1965
Ynso Scholten,Scholten,CHU,Minister,Justitie,Marijnen,24 juli 1963,13 april 1965
Jo Schouwenaar-Franssen,Schouwenaar-Franssen,VVD,Minister,Maatschappelijk Werk,Marijnen,24 juli 1963,13 april 1965
Edzo Toxopeus,Toxopeus,VVD,Minister,Binnenlandse Zaken,Marijnen,24 juli 1963,13 april 1965
Gerard Veldkamp,Veldkamp,KVP,Minister,Sociale Zaken en Volksgezondheid,Marijnen,24 juli 1963,13 april 1965
Johan Witteveen,Witteveen,VVD,Minister,Financiën,Marijnen,24 juli 1963,13 april 1965
Piet de Jong,de Jong,KVP,Minister,Defensie,Marijnen,24 juli 1963,13 april 1965
Jan van Aartsen,van Aartsen,ARP,Minister,Verkeer en Waterstaat,Marijnen,24 juli 1963,13 april 1965
Wim van den Berge,van den Berge,Partijloos,Staatssecretaris,Financiën,Marijnen,24 juli 1963,13 april 1965
Joop Haex,Haex,CHU,Staatssecretaris,Defensie,Marijnen,14 augustus 1963,13 april 1965
Adri van Es,van Es,ARP,Staatssecretaris,Defensie,Marijnen,14 augustus 1963,13 april 1965
Joop Bakker,Bakker,ARP,Staatssecretaris,Economische Zaken,Marijnen,3 september 1963,13 april 1965
Louis Bartels,Bartels,KVP,Staatssecretaris,Sociale Zaken en Volksgezondheid,Marijnen,3 september 1963,13 april 1965
Hans Grosheide,Grosheide,ARP,Staatssecretaris,"Onderwijs, Kunsten en Wetenschappen",Marijnen,3 september 1963,13 april 1965
Leo de Block,de Block,KVP,Staatssecretaris,Buitenlandse Zaken,Marijnen,3 september 1963,13 april 1965
Mike Keyzer,Keyzer,VVD,Staatssecretaris,Verkeer en Waterstaat,Marijnen,22 oktober 1963,13 april 1965
Louis van de Laar,van de Laar,KVP,Staatssecretaris,"Onderwijs, Kunsten en Wetenschappen",Marijnen,24 oktober 1963,13 april 1965
José de Meijer,de Meijer,KVP,Staatssecretaris,Sociale Zaken en Volksgezondheid,Marijnen,15 november 1963,13 april 1965
Willem den Toom,den Toom,VVD,Staatssecretaris,Defensie,Marijnen,25 november 1963,13 april 1965
Isaäc Diepenhorst,Diepenhorst,CHU,Staatssecretaris,Buitenlandse Zaken,Marijnen,28 november 1963,13 april 1965
Joop Bakker,Bakker,ARP,Staatssecretaris,Economische Zaken,Cals,14 april 1965,21 november 1966
Louis Bartels,Bartels,KVP,Staatssecretaris,Sociale Zaken en Volksgezondheid,Cals,14 april 1965,21 november 1966
Barend Biesheuvel,Biesheuvel,ARP,Minister,Viceminister-president,Cals,14 april 1965,21 november 1966
Barend Biesheuvel,Biesheuvel,ARP,Minister,Landbouw en Visserij,Cals,14 april 1965,21 november 1966
Barend Biesheuvel,Biesheuvel,ARP,Minister,de West,Cals,14 april 1965,21 november 1966
Pieter Bogaers,Bogaers,KVP,Minister,Volkshuisvesting en Ruimtelijke Ordening,Cals,14 april 1965,21 november 1966
Theo Bot,Bot,KVP,Minister,Hulp aan ontwikkelingslanden,Cals,14 april 1965,21 november 1966
Jo Cals,Cals,KVP,Minister,Minister-president,Cals,14 april 1965,21 november 1966
Jo Cals,Cals,KVP,Minister,Algemene Zaken,Cals,14 april 1965,21 november 1966
Isaäc Diepenhorst,Diepenhorst,ARP,Minister,Onderwijs en Wetenschappen,Cals,14 april 1965,21 november 1966
Hans Grosheide,Grosheide,ARP,Staatssecretaris,Onderwijs en Wetenschappen,Cals,14 april 1965,21 november 1966
Joseph Luns,Luns,KVP,Minister,Buitenlandse Zaken,Cals,14 april 1965,21 november 1966
Ivo Samkalden,Samkalden,PvdA,Minister,Justitie,Cals,14 april 1965,21 november 1966
Jan Smallenbroek,Smallenbroek,ARP,Minister,Binnenlandse Zaken,Cals,14 april 1965,31 augustus 1966
Ko Suurhoff,Suurhoff,PvdA,Minister,Verkeer en Waterstaat,Cals,14 april 1965,21 november 1966
Gerard Veldkamp,Veldkamp,KVP,Minister,Sociale Zaken en Volksgezondheid,Cals,14 april 1965,21 november 1966
Anne Vondeling,Vondeling,PvdA,Minister,Viceminister-president,Cals,14 april 1965,21 november 1966
Anne Vondeling,Vondeling,PvdA,Minister,Financiën,Cals,14 april 1965,21 november 1966
Maarten Vrolijk,Vrolijk,PvdA,Minister,"Cultuur, Recreatie en Maatschappelijk Werk",Cals,14 april 1965,21 november 1966
Leo de Block,de Block,KVP,Staatssecretaris,Buitenlandse Zaken,Cals,14 april 1965,21 november 1966
Piet de Jong,de Jong,KVP,Minister,Defensie,Cals,14 april 1965,21 november 1966
José de Meijer,de Meijer,KVP,Staatssecretaris,Sociale Zaken en Volksgezondheid,Cals,14 april 1965,21 november 1966
Joop den Uyl,den Uyl,PvdA,Minister,Economische Zaken,Cals,14 april 1965,21 november 1966
Adri van Es,van Es,ARP,Staatssecretaris,Defensie,Cals,14 april 1965,21 november 1966
Siep Posthumus,Posthumus,PvdA,Staatssecretaris,Verkeer en Waterstaat,Cals,4 mei 1965,21 november 1966
Cees Egas,Egas,PvdA,Staatssecretaris,"Cultuur, Recreatie en Maatschappelijk Werk",Cals,10 mei 1965,21 november 1966
Gerard Peijnenburg,Peijnenburg,Partijloos,Staatssecretaris,Defensie,Cals,13 mei 1965,21 november 1966
Wiel Hoefnagels,Hoefnagels,KVP,Staatssecretaris,Financiën,Cals,31 mei 1965,21 november 1966
Jan Borghouts,Borghouts,KVP,Staatssecretaris,Defensie,Cals,12 juli 1965,5 februari 1966
Theo Westerhout,Westerhout,PvdA,Staatssecretaris,Binnenlandse Zaken,Cals,12 juli 1965,21 november 1966
Max van der Stoel,van der Stoel,PvdA,Staatssecretaris,Buitenlandse Zaken,Cals,22 juli 1965,21 november 1966
Heije Schaper,Schaper,Partijloos,Staatssecretaris,Defensie,Cals,22 juni 1966,21 november 1966
Ivo Samkalden,Samkalden,PvdA,Minister,Binnenlandse Zaken,Cals,31 augustus 1966,4 september 1966
Koos Verdam,Verdam,ARP,Minister,Binnenlandse Zaken,Cals,5 september 1966,21 november 1966
Joop Bakker,Bakker,ARP,Minister,Economische Zaken,Zijlstra,22 november 1966,4 april 1967
Louis Bartels,Bartels,KVP,Staatssecretaris,Sociale Zaken en Volksgezondheid,Zijlstra,22 november 1966,4 april 1967
Barend Biesheuvel,Biesheuvel,ARP,Minister,Viceminister-president,Zijlstra,22 november 1966,4 april 1967
Barend Biesheuvel,Biesheuvel,ARP,Minister,Landbouw en Visserij,Zijlstra,22 november 1966,4 april 1967
Barend Biesheuvel,Biesheuvel,ARP,Minister,de West,Zijlstra,22 november 1966,4 april 1967
Theo Bot,Bot,KVP,Minister,Hulp aan ontwikkelingslanden,Zijlstra,22 november 1966,4 april 1967
Isaäc Diepenhorst,Diepenhorst,ARP,Minister,Onderwijs en Wetenschappen,Zijlstra,22 november 1966,4 april 1967
Hans Grosheide,Grosheide,ARP,Staatssecretaris,Onderwijs en Wetenschappen,Zijlstra,22 november 1966,4 april 1967
Marga Klompé,Klompé,KVP,Minister,"Cultuur, Recreatie en Maatschappelijk Werk",Zijlstra,22 november 1966,4 april 1967
Joseph Luns,Luns,KVP,Minister,Buitenlandse Zaken,Zijlstra,22 november 1966,4 april 1967
Gerard Peijnenburg,Peijnenburg,Partijloos,Staatssecretaris,Defensie,Zijlstra,22 november 1966,4 april 1967
Heije Schaper,Schaper,Partijloos,Staatssecretaris,Defensie,Zijlstra,22 november 1966,4 april 1967
Teun Struycken,Struycken,KVP,Minister,Justitie,Zijlstra,22 november 1966,4 april 1967
Gerard Veldkamp,Veldkamp,KVP,Minister,Sociale Zaken en Volksgezondheid,Zijlstra,22 november 1966,4 april 1967
Koos Verdam,Verdam,ARP,Minister,Binnenlandse Zaken,Zijlstra,22 november 1966,4 april 1967
Herman Witte,Witte,KVP,Minister,Volkshuisvesting en Ruimtelijke Ordening,Zijlstra,22 november 1966,4 april 1967
Jelle Zijlstra,Zijlstra,ARP,Minister,Minister-president,Zijlstra,22 november 1966,4 april 1967
Jelle Zijlstra,Zijlstra,ARP,Minister,Algemene Zaken,Zijlstra,22 november 1966,4 april 1967
Jelle Zijlstra,Zijlstra,ARP,Minister,Financiën,Zijlstra,22 november 1966,4 april 1967
Leo de Block,de Block,KVP,Staatssecretaris,Buitenlandse Zaken,Zijlstra,22 november 1966,4 april 1967
Leo de Block,de Block,KVP,Staatssecretaris,Verkeer en Waterstaat,Zijlstra,22 november 1966,4 april 1967
Piet de Jong,de Jong,KVP,Minister,Defensie,Zijlstra,22 november 1966,4 april 1967
José de Meijer,de Meijer,KVP,Staatssecretaris,Sociale Zaken en Volksgezondheid,Zijlstra,22 november 1966,4 april 1967
Jan de Quay,de Quay,KVP,Minister,Viceminister-president,Zijlstra,22 november 1966,4 april 1967
Jan de Quay,de Quay,KVP,Minister,Verkeer en Waterstaat,Zijlstra,22 november 1966,4 april 1967
Adri van Es,van Es,ARP,Staatssecretaris,Defensie,Zijlstra,22 november 1966,4 april 1967
Louis van Son,van Son,KVP,Staatssecretaris,Economische Zaken,Zijlstra,28 november 1966,4 april 1967
Joop Bakker,Bakker,ARP,Minister,Viceminister-president,De Jong,5 april 1967,5 juli 1971
Joop Bakker,Bakker,ARP,Minister,Verkeer en Waterstaat,De Jong,5 april 1967,5 juli 1971
Joop Bakker,Bakker,ARP,Minister,de West,De Jong,5 april 1967,5 juli 1971
Henk Beernink,Beernink,CHU,Minister,Binnenlandse Zaken,De Jong,5 april 1967,5 juli 1971
Hans Grosheide,Grosheide,ARP,Staatssecretaris,Onderwijs en Wetenschappen,De Jong,5 april 1967,5 juli 1971
Marga Klompé,Klompé,KVP,Minister,"Cultuur, Recreatie en Maatschappelijk Werk",De Jong,5 april 1967,5 juli 1971
Pierre Lardinois,Lardinois,KVP,Minister,Landbouw en Visserij,De Jong,5 april 1967,5 juli 1971
Joseph Luns,Luns,KVP,Minister,Buitenlandse Zaken,De Jong,5 april 1967,5 juli 1971
Carel Polak,Polak,VVD,Minister,Justitie,De Jong,5 april 1967,5 juli 1971
Bauke Roolvink,Roolvink,ARP,Minister,Sociale Zaken en Volksgezondheid,De Jong,5 april 1967,5 juli 1971
Wim Schut,Schut,ARP,Minister,Volkshuisvesting en Ruimtelijke Ordening,De Jong,5 april 1967,5 juli 1971
Bé Udink,Udink,CHU,Minister,Hulp aan ontwikkelingslanden,De Jong,5 april 1967,5 juli 1971
Gerard Veringa,Veringa,KVP,Minister,Onderwijs en Wetenschappen,De Jong,5 april 1967,5 juli 1971
Johan Witteveen,Witteveen,VVD,Minister,Viceminister-president,De Jong,5 april 1967,5 juli 1971
Johan Witteveen,Witteveen,VVD,Minister,Financiën,De Jong,5 april 1967,5 juli 1971
Leo de Block,de Block,KVP,Minister,Economische Zaken,De Jong,5 april 1967,6 januari 1970
Piet de Jong,de Jong,KVP,Minister,Minister-president,De Jong,5 april 1967,5 juli 1971
Piet de Jong,de Jong,KVP,Minister,Algemene Zaken,De Jong,5 april 1967,5 juli 1971
Willem den Toom,den Toom,VVD,Minister,Defensie,De Jong,5 april 1967,5 juli 1971
Adri van Es,van Es,ARP,Staatssecretaris,Defensie,De Jong,5 april 1967,5 juli 1971
Joop Haex,Haex,CHU,Staatssecretaris,Defensie,De Jong,18 april 1967,5 juli 1971
Mike Keyzer,Keyzer,VVD,Staatssecretaris,Verkeer en Waterstaat,De Jong,18 april 1967,5 juli 1971
Roelof Kruisinga,Kruisinga,CHU,Staatssecretaris,Sociale Zaken en Volksgezondheid,De Jong,18 april 1967,5 juli 1971
Louis van Son,van Son,KVP,Staatssecretaris,Economische Zaken,De Jong,18 april 1967,5 juli 1971
Bob Duynstee,Duynstee,KVP,Staatssecretaris,Defensie,De Jong,28 april 1967,5 juli 1971
Ferd Grapperhaus,Grapperhaus,KVP,Staatssecretaris,Financiën,De Jong,10 mei 1967,5 juli 1971
Chris van Veen,van Veen,CHU,Staatssecretaris,Binnenlandse Zaken,De Jong,10 mei 1967,5 juli 1971
Hein van de Poel,van de Poel,KVP,Staatssecretaris,"Cultuur, Recreatie en Maatschappelijk Werk",De Jong,29 mei 1967,5 juli 1971
Hans de Koster,de Koster,VVD,Staatssecretaris,Buitenlandse Zaken,De Jong,12 juni 1967,5 juli 1971
Piet de Jong,de Jong,KVP,Minister,Economische Zaken,De Jong,7 januari 1970,13 januari 1970
Roelof Nelissen,Nelissen,KVP,Minister,Economische Zaken,De Jong,14 januari 1970,5 juli 1971
Klaas Wiersma,Wiersma,VVD,Staatssecretaris,Justitie,De Jong,20 april 1970,5 juli 1971
Barend Biesheuvel,Biesheuvel,ARP,Minister,Minister-president,Biesheuvel I,6 juli 1971,8 augustus 1972
Barend Biesheuvel,Biesheuvel,ARP,Minister,Algemene Zaken,Biesheuvel I,6 juli 1971,8 augustus 1972
Jaap Boersma,Boersma,ARP,Minister,Sociale Zaken,Biesheuvel I,6 juli 1971,8 augustus 1972
Kees Boertien,Boertien,ARP,Minister,Ontwikkelingssamenwerking,Biesheuvel I,6 juli 1971,8 augustus 1972
Wim Drees jr.,Drees,DS'70,Minister,Verkeer en Waterstaat,Biesheuvel I,6 juli 1971,21 juli 1972
Piet Engels,Engels,KVP,Minister,"Cultuur, Recreatie en Maatschappelijk Werk",Biesheuvel I,6 juli 1971,8 augustus 1972
Molly Geertsema,Geertsema,VVD,Minister,Viceminister-president,Biesheuvel I,6 juli 1971,8 augustus 1972
Molly Geertsema,Geertsema,VVD,Minister,Binnenlandse Zaken,Biesheuvel I,6 juli 1971,8 augustus 1972
Harrie Langman,Langman,VVD,Minister,Economische Zaken,Biesheuvel I,6 juli 1971,8 augustus 1972
Pierre Lardinois,Lardinois,KVP,Minister,Landbouw en Visserij,Biesheuvel I,6 juli 1971,8 augustus 1972
Roelof Nelissen,Nelissen,KVP,Minister,Viceminister-president,Biesheuvel I,6 juli 1971,8 augustus 1972
Roelof Nelissen,Nelissen,KVP,Minister,Financiën,Biesheuvel I,6 juli 1971,8 augustus 1972
Roelof Nelissen,Nelissen,KVP,Minister,de West,Biesheuvel I,6 juli 1971,27 januari 1972
Norbert Schmelzer,Schmelzer,KVP,Minister,Buitenlandse Zaken,Biesheuvel I,6 juli 1971,8 augustus 1972
Louis Stuijt,Stuijt,KVP,Minister,Volksgezondheid en Milieuhygiëne,Biesheuvel I,6 juli 1971,8 augustus 1972
Bé Udink,Udink,CHU,Minister,Volkshuisvesting en Ruimtelijke Ordening,Biesheuvel I,6 juli 1971,8 augustus 1972
Mauk de Brauw,de Brauw,DS'70,Minister,Wetenschapsbeleid en Wetenschappelijk Onderwijs,Biesheuvel I,6 juli 1971,21 juli 1972
Hans de Koster,de Koster,VVD,Minister,Defensie,Biesheuvel I,6 juli 1971,8 augustus 1972
Dries van Agt,van Agt,KVP,Minister,Justitie,Biesheuvel I,6 juli 1971,8 augustus 1972
Chris van Veen,van Veen,CHU,Minister,Onderwijs en Wetenschappen,Biesheuvel I,6 juli 1971,8 augustus 1972
Willem Scholten,Scholten,CHU,Staatssecretaris,Financiën,Biesheuvel I,14 juli 1971,8 augustus 1972
Adri van Es,van Es,ARP,Staatssecretaris,Defensie,Biesheuvel I,14 juli 1971,8 augustus 1972
Fons van der Stee,van der Stee,KVP,Staatssecretaris,Financiën,Biesheuvel I,14 juli 1971,8 augustus 1972
Jan Oostenbrink,Oostenbrink,KVP,Staatssecretaris,Economische Zaken,Biesheuvel I,17 juli 1971,8 augustus 1972
Jan van Stuijvenberg,van Stuijvenberg,DS'70,Staatssecretaris,Binnenlandse Zaken,Biesheuvel I,17 juli 1971,21 juli 1972
Hans Grosheide,Grosheide,ARP,Staatssecretaris,Justitie,Biesheuvel I,28 juli 1971,8 augustus 1972
Roelof Kruisinga,Kruisinga,CHU,Staatssecretaris,Verkeer en Waterstaat,Biesheuvel I,28 juli 1971,8 augustus 1972
Koos Rietkerk,Rietkerk,VVD,Staatssecretaris,Sociale Zaken,Biesheuvel I,28 juli 1971,8 augustus 1972
Kees Schelfhout,Schelfhout,KVP,Staatssecretaris,Onderwijs en Wetenschappen,Biesheuvel I,28 juli 1971,8 augustus 1972
Henk Vonhoff,Vonhoff,VVD,Staatssecretaris,"Cultuur, Recreatie en Maatschappelijk Werk",Biesheuvel I,28 juli 1971,8 augustus 1972
Fia van Veenendaal-van Meggelen,van Veenendaal-van Meggelen,DS'70,Staatssecretaris,"Cultuur, Recreatie en Maatschappelijk Werk",Biesheuvel I,28 juli 1971,21 juli 1972
Werner Buck,Buck,KVP,Staatssecretaris,Volkshuisvesting en Ruimtelijke Ordening,Biesheuvel I,17 augustus 1971,8 augustus 1972
Tjerk Westerterp,Westerterp,KVP,Staatssecretaris,Buitenlandse Zaken,Biesheuvel I,17 augustus 1971,8 augustus 1972
Pierre Lardinois,Lardinois,KVP,Minister,de West,Biesheuvel I,28 januari 1972,8 augustus 1972
Bé Udink,Udink,CHU,Minister,Verkeer en Waterstaat,Biesheuvel I,21 juli 1972,8 augustus 1972
Barend Biesheuvel,Biesheuvel,ARP,Minister,Minister-president,Biesheuvel II,9 augustus 1972,10 mei 1973
Barend Biesheuvel,Biesheuvel,ARP,Minister,Algemene Zaken,Biesheuvel II,9 augustus 1972,10 mei 1973
Jaap Boersma,Boersma,ARP,Minister,Sociale Zaken,Biesheuvel II,9 augustus 1972,10 mei 1973
Kees Boertien,Boertien,ARP,Minister,Ontwikkelingssamenwerking,Biesheuvel II,9 augustus 1972,10 mei 1973
Werner Buck,Buck,KVP,Staatssecretaris,Volkshuisvesting en Ruimtelijke Ordening,Biesheuvel II,9 augustus 1972,10 mei 1973
Piet Engels,Engels,KVP,Minister,"Cultuur, Recreatie en Maatschappelijk Werk",Biesheuvel II,9 augustus 1972,10 mei 1973
Molly Geertsema,Geertsema,VVD,Minister,Viceminister-president,Biesheuvel II,9 augustus 1972,10 mei 1973
Molly Geertsema,Geertsema,VVD,Minister,Binnenlandse Zaken,Biesheuvel II,9 augustus 1972,10 mei 1973
Hans Grosheide,Grosheide,ARP,Staatssecretaris,Justitie,Biesheuvel II,9 augustus 1972,10 mei 1973
Roelof Kruisinga,Kruisinga,CHU,Staatssecretaris,Verkeer en Waterstaat,Biesheuvel II,9 augustus 1972,19 maart 1973
Harrie Langman,Langman,VVD,Minister,Economische Zaken,Biesheuvel II,9 augustus 1972,10 mei 1973
Pierre Lardinois,Lardinois,KVP,Minister,Landbouw en Visserij,Biesheuvel II,9 augustus 1972,31 december 1972
Pierre Lardinois,Lardinois,KVP,Minister,de West,Biesheuvel II,9 augustus 1972,31 december 1972
Roelof Nelissen,Nelissen,KVP,Minister,Viceminister-president,Biesheuvel II,9 augustus 1972,10 mei 1973
Roelof Nelissen,Nelissen,KVP,Minister,Financiën,Biesheuvel II,9 augustus 1972,10 mei 1973
Jan Oostenbrink,Oostenbrink,KVP,Staatssecretaris,Economische Zaken,Biesheuvel II,9 augustus 1972,10 mei 1973
Koos Rietkerk,Rietkerk,VVD,Staatssecretaris,Sociale Zaken,Biesheuvel II,9 augustus 1972,22 april 1973
Kees Schelfhout,Schelfhout,KVP,Staatssecretaris,Onderwijs en Wetenschappen,Biesheuvel II,9 augustus 1972,10 mei 1973
Norbert Schmelzer,Schmelzer,KVP,Minister,Buitenlandse Zaken,Biesheuvel II,9 augustus 1972,10 mei 1973
Willem Scholten,Scholten,CHU,Staatssecretaris,Financiën,Biesheuvel II,9 augustus 1972,18 maart 1973
Louis Stuijt,Stuijt,KVP,Minister,Volksgezondheid en Milieuhygiëne,Biesheuvel II,9 augustus 1972,10 mei 1973
Bé Udink,Udink,CHU,Minister,Volkshuisvesting en Ruimtelijke Ordening,Biesheuvel II,9 augustus 1972,10 mei 1973
Bé Udink,Udink,CHU,Minister,Verkeer en Waterstaat,Biesheuvel II,9 augustus 1972,10 mei 1973
Henk Vonhoff,Vonhoff,VVD,Staatssecretaris,"Cultuur, Recreatie en Maatschappelijk Werk",Biesheuvel II,9 augustus 1972,22 april 1973
Hans de Koster,de Koster,VVD,Minister,Defensie,Biesheuvel II,9 augustus 1972,10 mei 1973
Dries van Agt,van Agt,KVP,Minister,Justitie,Biesheuvel II,9 augustus 1972,10 mei 1973
Adri van Es,van Es,ARP,Staatssecretaris,Defensie,Biesheuvel II,9 augustus 1972,15 september 1972
Chris van Veen,van Veen,CHU,Minister,Onderwijs en Wetenschappen,Biesheuvel II,9 augustus 1972,10 mei 1973
Fons van der Stee,van der Stee,KVP,Staatssecretaris,Financiën,Biesheuvel II,9 augustus 1972,11 maart 1973
Tjerk Westerterp,Westerterp,KVP,Staatssecretaris,Buitenlandse Zaken,Biesheuvel II,17 augustus 1972,6 maart 1973
Jaap Boersma,Boersma,ARP,Minister,Landbouw en Visserij,Biesheuvel II,1 januari 1973,10 mei 1973
Molly Geertsema,Geertsema,VVD,Minister,de West,Biesheuvel II,1 januari 1973,10 mei 1973
Jaap Boersma,Boersma,ARP,Minister,Sociale Zaken,Den Uyl,11 mei 1973,18 december 1977
Laurens Jan Brinkhorst,Brinkhorst,D66,Staatssecretaris,Buitenlandse Zaken,Den Uyl,11 mei 1973,7 september 1977
Tiemen Brouwer,Brouwer,KVP,Minister,Landbouw en Visserij,Den Uyl,11 mei 1973,31 oktober 1973
Wim Duisenberg,Duisenberg,PvdA,Minister,Financiën,Den Uyl,11 mei 1973,18 december 1977
Hans Gruijters,Gruijters,D66,Minister,Volkshuisvesting en Ruimtelijke Ordening,Den Uyl,11 mei 1973,18 december 1977
Ted Hazekamp,Hazekamp,KVP,Staatssecretaris,Economische Zaken,Den Uyl,11 mei 1973,7 september 1977
Jo Hendriks,Hendriks,KVP,Staatssecretaris,Volksgezondheid en Milieuhygiëne,Den Uyl,11 mei 1973,18 december 1977
Ger Klein,Klein,PvdA,Staatssecretaris,Onderwijs en Wetenschappen,Den Uyl,11 mei 1973,7 september 1977
Peter Kooijmans,Kooijmans,ARP,Staatssecretaris,Buitenlandse Zaken,Den Uyl,11 mei 1973,18 december 1977
Ruud Lubbers,Lubbers,KVP,Minister,Economische Zaken,Den Uyl,11 mei 1973,18 december 1977
Wim Meijer,Meijer,PvdA,Staatssecretaris,"Cultuur, Recreatie en Maatschappelijk Werk",Den Uyl,11 mei 1973,7 september 1977
Jan Mertens,Mertens,KVP,Staatssecretaris,Sociale Zaken,Den Uyl,11 mei 1973,18 december 1977
Joep Mommersteeg,Mommersteeg,KVP,Staatssecretaris,Defensie,Den Uyl,11 mei 1973,28 februari 1974
Wim Polak,Polak,PvdA,Staatssecretaris,Binnenlandse Zaken,Den Uyl,11 mei 1973,30 april 1977
Jan Pronk,Pronk,PvdA,Minister,Ontwikkelingssamenwerking,Den Uyl,11 mei 1973,18 december 1977
Jan Schaefer,Schaefer,PvdA,Staatssecretaris,Volkshuisvesting en Ruimtelijke Ordening,Den Uyl,11 mei 1973,7 september 1977
Bram Stemerdink,Stemerdink,PvdA,Staatssecretaris,Defensie,Den Uyl,11 mei 1973,30 december 1976
Boy Trip,Trip,PPR,Minister,Wetenschapsbeleid,Den Uyl,11 mei 1973,18 december 1977
Antoon Veerman,Veerman,ARP,Staatssecretaris,Onderwijs en Wetenschappen,Den Uyl,11 mei 1973,31 augustus 1975
Irene Vorrink,Vorrink,PvdA,Minister,Volksgezondheid en Milieuhygiëne,Den Uyl,11 mei 1973,18 december 1977
Henk Vredeling,Vredeling,PvdA,Minister,Defensie,Den Uyl,11 mei 1973,30 december 1976
Tjerk Westerterp,Westerterp,KVP,Minister,Verkeer en Waterstaat,Den Uyl,11 mei 1973,18 december 1977
Wilhelm de Gaay Fortman,de Gaay Fortman,ARP,Minister,Binnenlandse Zaken,Den Uyl,11 mei 1973,18 december 1977
Wilhelm de Gaay Fortman,de Gaay Fortman,ARP,Minister,de West,Den Uyl,11 mei 1973,24 november 1975
Aart de Goede,de Goede,D66,Staatssecretaris,Financiën,Den Uyl,11 mei 1973,18 december 1977
Joop den Uyl,den Uyl,PvdA,Minister,Minister-president,Den Uyl,11 mei 1973,18 december 1977
Joop den Uyl,den Uyl,PvdA,Minister,Algemene Zaken,Den Uyl,11 mei 1973,18 december 1977
Dries van Agt,van Agt,KVP,Minister,Viceminister-president,Den Uyl,11 mei 1973,7 september 1977
Dries van Agt,van Agt,KVP,Minister,Justitie,Den Uyl,11 mei 1973,7 september 1977
Marcel van Dam,van Dam,PvdA,Staatssecretaris,Volkshuisvesting en Ruimtelijke Ordening,Den Uyl,11 mei 1973,7 september 1977
Harry van Doorn,van Doorn,PPR,Minister,"Cultuur, Recreatie en Maatschappelijk Werk",Den Uyl,11 mei 1973,18 december 1977
Michel van Hulten,van Hulten,PPR,Staatssecretaris,Verkeer en Waterstaat,Den Uyl,11 mei 1973,18 december 1977
Jos van Kemenade,van Kemenade,PvdA,Minister,Onderwijs en Wetenschappen,Den Uyl,11 mei 1973,18 december 1977
Fons van der Stee,van der Stee,KVP,Staatssecretaris,Financiën,Den Uyl,11 mei 1973,31 oktober 1973
Max van der Stoel,van der Stoel,PvdA,Minister,Buitenlandse Zaken,Den Uyl,11 mei 1973,18 december 1977
Jan Glastra van Loon,Glastra van Loon,D66,Staatssecretaris,Justitie,Den Uyl,13 juni 1973,26 mei 1975
Fons van der Stee,van der Stee,KVP,Minister,Landbouw en Visserij,Den Uyl,1 november 1973,18 december 1977
Maarten van Rooijen,van Rooijen,KVP,Staatssecretaris,Financiën,Den Uyl,21 december 1973,13 oktober 1977
Cees van Lent,van Lent,KVP,Staatssecretaris,Defensie,Den Uyl,11 maart 1974,18 december 1977
Henk Zeevalking,Zeevalking,D66,Staatssecretaris,Justitie,Den Uyl,6 juni 1975,7 september 1977
Klaas de Jong,de Jong,ARP,Staatssecretaris,Onderwijs en Wetenschappen,Den Uyl,1 september 1975,18 december 1977
Wilhelm de Gaay Fortman,de Gaay Fortman,ARP,Minister,Coördinatie van aangelegenheden de Nederlandse Antillen betreffend en met de zorg voor aan de Nederlandse Antillen te verlenen hulp en bijstand,Den Uyl,25 november 1975,18 december 1977
Bram Stemerdink,Stemerdink,PvdA,Minister,Defensie,Den Uyl,31 december 1976,18 december 1977
Wilhelm de Gaay Fortman,de Gaay Fortman,ARP,Minister,Viceminister-president,Den Uyl,8 september 1977,18 december 1977
Wilhelm de Gaay Fortman,de Gaay Fortman,ARP,Minister,Justitie,Den Uyl,8 september 1977,18 december 1977
Wil Albeda,Albeda,CDA,Minister,Sociale Zaken,Van Agt I,19 december 1977,10 september 1981
