full_name,last_name,party,function,role,cabinet,start_date,end_date
Lubbert Götzen,Götzen,Partijloos,Minister,Begrotingstechnische zaken Overzeese Gebiedsdelen,Beel I,11 november 1947,6 augustus 1948
Sicco Mansholt,Mansholt,PvdA,Minister,Economische Zaken,Beel I,14 januari 1948,20 januari 1948
Jan van den Brink,van den Brink,KVP,Minister,Economische Zaken,Beel I,21 januari 1948,6 augustus 1948
Joris in 't Veld,in 't Veld,PvdA,Minister,Wederopbouw en Volkshuisvesting,Beel I,1 maart 1948,6 augustus 1948
Willem Drees,Drees,PvdA,Minister,Minister-president,Drees I,7 augustus 1948,14 maart 1951
Willem Drees,Drees,PvdA,Minister,Algemene Zaken,Drees I,7 augustus 1948,14 maart 1951
Lubbert Götzen,Götzen,Partijloos,Minister,Begrotingstechnische zaken Overzeese Gebiedsdelen,Drees I,7 augustus 1948,14 maart 1951
Dolf Joekes,Joekes,PvdA,Minister,Sociale Zaken,Drees I,7 augustus 1948,14 maart 1951
Piet Lieftinck,Lieftinck,PvdA,Minister,Financiën,Drees I,7 augustus 1948,14 maart 1951
Sicco Mansholt,Mansholt,PvdA,Minister,"Landbouw, Visserij en Voedselvoorziening",Drees I,7 augustus 1948,14 maart 1951
Theo Rutten,Rutten,KVP,Minister,"Onderwijs, Kunsten en Wetenschappen",Drees I,7 augustus 1948,14 maart 1951
Maan Sassen,Sassen,KVP,Minister,Overzeese Gebiedsdelen,Drees I,7 augustus 1948,13 februari 1949
Wim Schokking,Schokking,CHU,Minister,Oorlog,Drees I,7 augustus 1948,15 oktober 1950
Wim Schokking,Schokking,CHU,Minister,Marine,Drees I,7 augustus 1948,13 mei 1949
Dirk Stikker,Stikker,VVD,Minister,Buitenlandse Zaken,Drees I,7 augustus 1948,14 maart 1951
René Wijers,Wijers,KVP,Minister,Justitie,Drees I,7 augustus 1948,14 mei 1950
Joris in 't Veld,in 't Veld,PvdA,Minister,Wederopbouw en Volkshuisvesting,Drees I,7 augustus 1948,14 maart 1951
Johannes van Maarseveen,van Maarseveen,KVP,Minister,Binnenlandse Zaken,Drees I,7 augustus 1948,14 juni 1949
Joop van Schaik,van Schaik,KVP,Minister,Viceminister-president,Drees I,7 augustus 1948,14 maart 1951
Joop van Schaik,van Schaik,KVP,Minister,Verkeer en Waterstaat,Drees I,7 augustus 1948,31 oktober 1948
Joop van Schaik,van Schaik,KVP,Minister,Staatkundige hervormingen Koninkrijk,Drees I,7 augustus 1948,14 maart 1951
Jan van den Brink,van den Brink,KVP,Minister,Economische Zaken,Drees I,7 augustus 1948,14 maart 1951
Derk Spitzen,Spitzen,Partijloos,Minister,Verkeer en Waterstaat,Drees I,1 november 1948,14 maart 1951
Wim van der Grinten,van der Grinten,KVP,Staatssecretaris,Economische Zaken,Drees I,29 januari 1949,14 maart 1951
Johannes van Maarseveen,van Maarseveen,KVP,Minister,Overzeese Gebiedsdelen,Drees I,14 februari 1949,26 december 1949
Wim Fockema Andreae,Fockema Andreae,VVD,Staatssecretaris,Oorlog,Drees I,1 mei 1949,26 november 1950
Harry Moorman,Moorman,KVP,Staatssecretaris,Marine,Drees I,1 mei 1949,14 maart 1951
Wim Schokking,Schokking,CHU,Minister,Marine,Drees I,14 mei 1949,15 oktober 1950
Joop van Schaik,van Schaik,KVP,Minister,Binnenlandse Zaken,Drees I,15 juni 1949,19 september 1949
Frans Teulings,Teulings,KVP,Minister,Binnenlandse Zaken,Drees I,20 september 1949,14 maart 1951
Johannes van Maarseveen,van Maarseveen,KVP,Minister,Uniezaken en Overzeese Rijksdelen,Drees I,27 december 1949,14 maart 1951
Aat van Rhijn,van Rhijn,PvdA,Staatssecretaris,Sociale Zaken,Drees I,15 februari 1950,14 maart 1951
Nico Blom,Blom,Partijloos,Staatssecretaris,Buitenlandse Zaken,Drees I,16 februari 1950,14 maart 1951
Jo Cals,Cals,KVP,Staatssecretaris,"Onderwijs, Kunsten en Wetenschappen",Drees I,15 maart 1950,14 maart 1951
